affinity,base_blue_px,base_blue_units,base_element_sharpness_multiplier,base_green_px,base_green_units,base_max_sharpness,base_orange_px,base_orange_units,base_purple_px,base_purple_units,base_raw_sharpness_multiplier,base_red_px,base_red_units,base_total_units,base_white_px,base_white_units,base_yellow_px,base_yellow_units,can_extend_by_handicraft,defense_bonus,display_attack,elderseal,element_type,element_value,exclude_reason,handicraft5_blue_px,handicraft5_blue_units,handicraft5_element_sharpness_multiplier,handicraft5_green_px,handicraft5_green_units,handicraft5_max_sharpness,handicraft5_orange_px,handicraft5_orange_units,handicraft5_purple_px,handicraft5_purple_units,handicraft5_raw_sharpness_multiplier,handicraft5_red_px,handicraft5_red_units,handicraft5_total_units,handicraft5_white_px,handicraft5_white_units,handicraft5_yellow_px,handicraft5_yellow_units,handicraft_gain_units,handicraft_value_type,include_in_model,is_hidden_element,rarity,slot_1,slot_2,slot_3,source_category,true_raw,weapon_name,weapon_type,weapon_url,source_category_detailed,model_role,efr_train_inclusion,validation_inclusion,classification_note,include_in_efr_train,include_in_validation,affinity_multiplier_no_critboost,affinity_multiplier_critboost3,base_efr_no_critboost,base_efr_critboost3,handicraft5_efr_no_critboost,handicraft5_efr_critboost3,efr_gain_from_handicraft_no_critboost,efr_gain_from_handicraft_critboost3,efr_gain_from_handicraft_percent_no_critboost,efr_gain_from_handicraft_percent_critboost3,rarity_median_base_efr_critboost3,rarity_median_handicraft5_efr_critboost3,base_efr_residual_percent,handicraft5_efr_residual_percent,base_efr_outlier_label,handicraft5_efr_outlier_label
0,15.0,60.0,1.0625,12.5,50.0,blue,25.0,100.0,0.0,0.0,1.2,25.0,100.0,350.0,0.0,0.0,10.0,40.0,True,0,1200,,火,660.0,,17.5,70.0,1.125,12.5,50.0,white,25.0,100.0,0.0,0.0,1.32,25.0,100.0,400.0,10.0,40.0,10.0,40.0,50.0,unlocks_white,True,False,10,4.0,2.0,,material_or_elder,250,火碎剑2,大剑,https://mhworld.kiranico.com/zh/weapons/lkH7hbo/huo-sui-jian-2,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,300.0,300.0,330.0,330.0,30.0,30.0,0.10000000000000009,0.10000000000000009,316.8,333.59999999999997,-0.053030303030303094,-0.010791366906474753,below_curve,on_curve
15,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,35.0,140.0,350.0,10.0,40.0,7.5,30.0,True,0,1248,,冰,330.0,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,7.5,30.0,1.39,35.0,140.0,400.0,15.0,60.0,7.5,30.0,50.0,unlocks_purple,True,False,11,2.0,,,material_or_elder,260,钢龙寒冰大剑,大剑,https://mhworld.kiranico.com/zh/weapons/50HDuYB/gang-long-han-bing-da-jian,elder_dragon,train_core,True,False,古龙素材武器；纳入常规预算训练集。,True,False,1.0375,1.06,356.07,363.79200000000003,374.9525,383.084,18.882499999999993,19.291999999999973,0.05303030303030298,0.05303030303030298,343.2,361.4,0.06000000000000005,0.06000000000000005,above_curve,above_curve
20,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,25.0,100.0,350.0,7.5,30.0,7.5,30.0,True,0,1344,小,龙,330.0,,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,25.0,100.0,400.0,20.0,80.0,7.5,30.0,50.0,extends_white,True,False,12,4.0,4.0,,material_or_elder,280,冥灯龙大剑改,大剑,https://mhworld.kiranico.com/zh/weapons/EAHYCM0/ming-deng-long-da-jian-gai,elder_dragon,train_core,True,False,古龙素材武器；纳入常规预算训练集。,True,False,1.05,1.08,388.08000000000004,399.16800000000006,388.08000000000004,399.16800000000006,0.0,0.0,0.0,0.0,358.05,375.29999999999995,0.11483870967741949,0.06359712230215853,possible_overtuned,above_curve
-20,15.0,60.0,1.0625,17.5,70.0,blue,10.0,40.0,0.0,0.0,1.2,35.0,140.0,350.0,0.0,0.0,10.0,40.0,True,45,1344,,爆破,580.0,,17.5,70.0,1.25,17.5,70.0,purple,10.0,40.0,5.0,20.0,1.39,35.0,140.0,400.0,5.0,20.0,10.0,40.0,50.0,unlocks_purple,True,False,11,2.0,,,material_or_elder,280,岩浆卫士熔山剑,大剑,https://mhworld.kiranico.com/zh/weapons/V5HJcAo/yan-jiang-wei-shi-rong-shan-jian,elder_dragon,train_core,True,False,古龙素材武器；纳入常规预算训练集。,True,False,0.95,0.95,319.2,319.2,369.73999999999995,369.73999999999995,50.539999999999964,50.539999999999964,0.15833333333333321,0.15833333333333321,343.2,361.4,-0.0699300699300699,0.023076923076922995,below_curve,on_curve
0,15.0,60.0,1.0625,25.0,100.0,blue,15.0,60.0,0.0,0.0,1.2,17.5,70.0,350.0,0.0,0.0,15.0,60.0,True,0,1152,中,龙,720.0,,20.0,80.0,1.125,25.0,100.0,white,15.0,60.0,0.0,0.0,1.32,17.5,70.0,400.0,7.5,30.0,15.0,60.0,50.0,unlocks_white,True,False,11,1.0,1.0,,material_or_elder,240,封龙大剑2,大剑,https://mhworld.kiranico.com/zh/weapons/50HGSY9/feng-long-da-jian-2,elder_dragon,train_core,True,False,古龙素材武器；纳入常规预算训练集。,True,False,1.0,1.0,288.0,288.0,316.8,316.8,28.80000000000001,28.80000000000001,0.10000000000000009,0.10000000000000009,343.2,361.4,-0.16083916083916083,-0.12340896513558375,far_below_curve,far_below_curve
0,7.5,30.0,1.125,7.5,30.0,white,7.5,30.0,0.0,0.0,1.32,32.5,130.0,350.0,10.0,40.0,22.5,90.0,True,0,1200,,雷,510.0,,7.5,30.0,1.25,7.5,30.0,purple,7.5,30.0,5.0,20.0,1.39,32.5,130.0,400.0,17.5,70.0,22.5,90.0,50.0,unlocks_purple,True,False,11,2.0,1.0,,material_or_elder,250,迅雷断裂斧2,大剑,https://mhworld.kiranico.com/zh/weapons/8gH4spO/xun-lei-duan-lie-fu-2,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,330.0,330.0,347.5,347.5,17.5,17.5,0.05303030303030298,0.05303030303030298,343.2,361.4,-0.038461538461538436,-0.038461538461538436,on_curve,on_curve
35,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,27.5,110.0,350.0,7.5,30.0,7.5,30.0,True,0,1200,,冰,540.0,,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,27.5,110.0,400.0,20.0,80.0,7.5,30.0,50.0,extends_white,True,False,11,,,,material_or_elder,250,断海冰牙,大剑,https://mhworld.kiranico.com/zh/weapons/aNHQhL5/duan-hai-bing-ya,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0875,1.14,358.87499999999994,376.2,358.87499999999994,376.2,0.0,0.0,0.0,0.0,343.2,361.4,0.09615384615384626,0.04095185390149414,above_curve,on_curve
0,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,15.0,60.0,7.5,30.0,True,0,1152,,水,510.0,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,12.5,50.0,1.39,30.0,120.0,400.0,15.0,60.0,7.5,30.0,50.0,unlocks_purple,True,False,10,2.0,1.0,,material_or_elder,240,舄湖巨像2,大剑,https://mhworld.kiranico.com/zh/weapons/x9HZt90/xi-hu-ju-xiang-2,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,316.8,316.8,333.59999999999997,333.59999999999997,16.799999999999955,16.799999999999955,0.05303030303030298,0.05303030303030298,316.8,333.59999999999997,0.0,0.0,on_curve,on_curve
0,25.0,100.0,1.0625,20.0,80.0,blue,12.5,50.0,0.0,0.0,1.2,17.5,70.0,350.0,0.0,0.0,12.5,50.0,True,40,1392,,爆破,360.0,,37.5,150.0,1.0625,20.0,80.0,blue,12.5,50.0,0.0,0.0,1.2,17.5,70.0,400.0,0.0,0.0,12.5,50.0,50.0,extends_same_tier,True,True,11,4.0,,,material_or_elder,290,龙颚剑【绝牙】,大剑,https://mhworld.kiranico.com/zh/weapons/r8HwHyE/long-e-jian-jue-ya,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,348.0,348.0,348.0,348.0,0.0,0.0,0.0,0.0,343.2,361.4,0.013986013986013957,-0.03707802988378517,on_curve,on_curve
-30,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,40.0,160.0,350.0,5.0,20.0,7.5,30.0,True,0,1344,大,龙,390.0,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,7.5,30.0,1.39,40.0,160.0,400.0,10.0,40.0,7.5,30.0,50.0,unlocks_purple,True,False,12,,,,material_or_elder,280,业剑暗黑暴食,大剑,https://mhworld.kiranico.com/zh/weapons/JvHEZFMK/ye-jian-an-hei-bao-shi,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,0.925,0.925,341.88000000000005,341.88000000000005,360.01,360.01,18.12999999999994,18.12999999999994,0.05303030303030276,0.05303030303030276,358.05,375.29999999999995,-0.04516129032258054,-0.04074074074074063,on_curve,on_curve
25,7.5,30.0,1.125,7.5,30.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,12.5,50.0,22.5,90.0,True,0,1200,,爆破,390.0,,7.5,30.0,1.25,7.5,30.0,purple,7.5,30.0,5.0,20.0,1.39,30.0,120.0,400.0,20.0,80.0,22.5,90.0,50.0,unlocks_purple,True,False,12,2.0,1.0,,material_or_elder,250,魂焰刚剑·炎妃,大剑,https://mhworld.kiranico.com/zh/weapons/q8Hvvukw/hun-yan-gang-jian-yan-fei,elder_dragon,train_core,True,False,古龙素材武器；纳入常规预算训练集。,True,False,1.0625,1.1,350.625,363.00000000000006,369.21875,382.25000000000006,18.59375,19.25,0.05303030303030298,0.05303030303030298,358.05,375.29999999999995,0.01382488479262678,0.018518518518518823,on_curve,on_curve
-15,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,2.5,10.0,1.39,40.0,160.0,350.0,7.5,30.0,5.0,20.0,True,0,1296,,火,690.0,,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,15.0,60.0,1.39,40.0,160.0,400.0,7.5,30.0,5.0,20.0,50.0,extends_purple,True,True,12,1.0,1.0,,material_or_elder,270,爆热机关式【银翼】,大剑,https://mhworld.kiranico.com/zh/weapons/q8HvWUwg/bao-re-ji-guan-shi-yin-yi,event_special,validation_marked,False,True,活动 / 特殊外观武器；保留为 marked validation，不参与常规预算拟合。,False,True,0.9625,0.9625,361.22624999999994,361.22624999999994,361.22624999999994,361.22624999999994,0.0,0.0,0.0,0.0,358.05,375.29999999999995,0.008870967741935187,-0.03750000000000009,on_curve,on_curve
0,7.5,30.0,1.125,7.5,30.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,12.5,50.0,22.5,90.0,True,0,1296,,爆破,330.0,,7.5,30.0,1.25,7.5,30.0,purple,7.5,30.0,5.0,20.0,1.39,30.0,120.0,400.0,20.0,80.0,22.5,90.0,50.0,unlocks_purple,True,False,12,2.0,2.0,,material_or_elder,270,魂焰刚剑·灭尽,大剑,https://mhworld.kiranico.com/zh/weapons/WJHw3Tqq/hun-yan-gang-jian-mie-jin,elder_dragon,train_core,True,False,古龙素材武器；纳入常规预算训练集。,True,False,1.0,1.0,356.40000000000003,356.40000000000003,375.29999999999995,375.29999999999995,18.89999999999992,18.89999999999992,0.05303030303030276,0.05303030303030276,358.05,375.29999999999995,-0.004608294930875556,0.0,on_curve,on_curve
15,7.5,30.0,1.125,7.5,30.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,12.5,50.0,22.5,90.0,True,0,1200,,爆破,480.0,,7.5,30.0,1.25,7.5,30.0,purple,7.5,30.0,5.0,20.0,1.39,30.0,120.0,400.0,20.0,80.0,22.5,90.0,50.0,unlocks_purple,True,False,12,3.0,3.0,,material_or_elder,250,魂焰刚剑·冥灯,大剑,https://mhworld.kiranico.com/zh/weapons/BYHgPsEb/hun-yan-gang-jian-ming-deng,elder_dragon,train_core,True,False,古龙素材武器；纳入常规预算训练集。,True,False,1.0375,1.06,342.37500000000006,349.8,360.53125000000006,368.35,18.15625,18.55000000000001,0.05303030303030298,0.05303030303030298,358.05,375.29999999999995,-0.02304147465437789,-0.01851851851851838,on_curve,on_curve
0,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,10.0,40.0,1.39,32.5,130.0,350.0,7.5,30.0,5.0,20.0,True,0,1296,中,龙,420.0,,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,22.5,90.0,1.39,32.5,130.0,400.0,7.5,30.0,5.0,20.0,50.0,extends_purple,True,False,12,2.0,,,material_or_elder,270,狱界断罪斧改,大剑,https://mhworld.kiranico.com/zh/weapons/8gH9zF6l/yu-jie-duan-zui-fu-gai,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,375.29999999999995,375.29999999999995,375.29999999999995,375.29999999999995,0.0,0.0,0.0,0.0,358.05,375.29999999999995,0.048177628822789975,0.0,on_curve,on_curve
0,20.0,80.0,1.0625,20.0,80.0,blue,12.5,50.0,0.0,0.0,1.2,22.5,90.0,350.0,0.0,0.0,12.5,50.0,True,0,1344,,冰,600.0,,32.5,130.0,1.0625,20.0,80.0,blue,12.5,50.0,0.0,0.0,1.2,22.5,90.0,400.0,0.0,0.0,12.5,50.0,50.0,extends_same_tier,True,True,10,4.0,,,material_or_elder,280,巨牛大斧2,大剑,https://mhworld.kiranico.com/zh/weapons/g3Hl4fEz/ju-niu-da-fu-2,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,336.0,336.0,336.0,336.0,0.0,0.0,0.0,0.0,316.8,333.59999999999997,0.06060606060606055,0.007194244604316724,above_curve,on_curve
25,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,7.5,30.0,1.39,35.0,140.0,350.0,7.5,30.0,5.0,20.0,True,0,1152,,毒,660.0,,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,20.0,80.0,1.39,35.0,140.0,400.0,7.5,30.0,5.0,20.0,50.0,extends_purple,True,True,10,1.0,,,material_or_elder,240,隐密之炎2,大剑,https://mhworld.kiranico.com/zh/weapons/50HbQcOq/yin-mi-zhi-yan-2,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0625,1.1,354.45,366.96,354.45,366.96,0.0,0.0,0.0,0.0,316.8,333.59999999999997,0.15833333333333321,0.10000000000000009,possible_overtuned,possible_overtuned
0,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,32.5,130.0,350.0,12.5,50.0,7.5,30.0,True,0,1200,,火,450.0,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,7.5,30.0,1.39,32.5,130.0,400.0,17.5,70.0,7.5,30.0,50.0,unlocks_purple,True,False,10,1.0,1.0,,material_or_elder,250,斩龙之炎2,大剑,https://mhworld.kiranico.com/zh/weapons/GNHDZSqe/zhan-long-zhi-yan-2,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,330.0,330.0,347.5,347.5,17.5,17.5,0.05303030303030298,0.05303030303030298,316.8,333.59999999999997,0.04166666666666652,0.04166666666666674,on_curve,on_curve
0,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,35.0,140.0,350.0,10.0,40.0,7.5,30.0,True,0,1296,,冰,450.0,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,12.5,50.0,1.39,35.0,140.0,400.0,10.0,40.0,7.5,30.0,50.0,unlocks_purple,True,False,12,4.0,,,material_or_elder,270,冰翼灵羽,大剑,https://mhworld.kiranico.com/zh/weapons/70H6DsWO/bing-yi-ling-yu,elder_dragon,train_core,True,False,古龙素材武器；纳入常规预算训练集。,True,False,1.0,1.0,356.40000000000003,356.40000000000003,375.29999999999995,375.29999999999995,18.89999999999992,18.89999999999992,0.05303030303030276,0.05303030303030276,358.05,375.29999999999995,-0.004608294930875556,0.0,on_curve,on_curve
-20,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,17.5,70.0,350.0,17.5,70.0,7.5,30.0,True,0,1344,,爆破,450.0,,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,17.5,70.0,400.0,30.0,120.0,7.5,30.0,50.0,extends_white,True,True,11,,,,material_or_elder,280,轰大剑【王虎】,大剑,https://mhworld.kiranico.com/zh/weapons/q8HvBswV/hong-da-jian-wang-hu,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,0.95,0.95,351.12,351.12,351.12,351.12,0.0,0.0,0.0,0.0,343.2,361.4,0.023076923076923217,-0.028444936358605344,on_curve,on_curve
25,20.0,80.0,1.0625,12.5,50.0,blue,25.0,100.0,0.0,0.0,1.2,20.0,80.0,350.0,0.0,0.0,10.0,40.0,True,0,1248,,雷,360.0,,20.0,80.0,1.125,12.5,50.0,white,25.0,100.0,0.0,0.0,1.32,20.0,80.0,400.0,12.5,50.0,10.0,40.0,50.0,unlocks_white,True,False,11,,,,material_or_elder,260,兵器蛮雷大剑,大剑,https://mhworld.kiranico.com/zh/weapons/x9HDEh93/bing-qi-man-lei-da-jian,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0625,1.1,331.5,343.20000000000005,364.65,377.52000000000004,33.14999999999998,34.31999999999999,0.09999999999999987,0.09999999999999987,343.2,361.4,2.220446049250313e-16,0.04460431654676267,on_curve,on_curve
0,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,12.5,50.0,350.0,20.0,80.0,7.5,30.0,True,0,1152,,睡眠,540.0,,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,12.5,50.0,400.0,32.5,130.0,7.5,30.0,50.0,extends_white,True,False,10,2.0,,,material_or_elder,240,夜神剃刀2,大剑,https://mhworld.kiranico.com/zh/weapons/kaHAbFWY/ye-shen-ti-dao-2,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,316.8,316.8,316.8,316.8,0.0,0.0,0.0,0.0,316.8,333.59999999999997,0.0,-0.050359712230215736,on_curve,below_curve
