affinity,base_blue_px,base_blue_units,base_element_sharpness_multiplier,base_green_px,base_green_units,base_max_sharpness,base_orange_px,base_orange_units,base_purple_px,base_purple_units,base_raw_sharpness_multiplier,base_red_px,base_red_units,base_total_units,base_white_px,base_white_units,base_yellow_px,base_yellow_units,can_extend_by_handicraft,defense_bonus,display_attack,elderseal,element_type,element_value,exclude_reason,handicraft5_blue_px,handicraft5_blue_units,handicraft5_element_sharpness_multiplier,handicraft5_green_px,handicraft5_green_units,handicraft5_max_sharpness,handicraft5_orange_px,handicraft5_orange_units,handicraft5_purple_px,handicraft5_purple_units,handicraft5_raw_sharpness_multiplier,handicraft5_red_px,handicraft5_red_units,handicraft5_total_units,handicraft5_white_px,handicraft5_white_units,handicraft5_yellow_px,handicraft5_yellow_units,handicraft_gain_units,handicraft_value_type,include_in_model,is_hidden_element,rarity,slot_1,slot_2,slot_3,source_category,true_raw,weapon_name,weapon_type,weapon_url
0,15.0,60.0,1.0625,12.5,50.0,blue,25.0,100.0,0.0,0.0,1.2,25.0,100.0,350.0,0.0,0.0,10.0,40.0,True,0,1200,,火,660,,17.5,70.0,1.125,12.5,50.0,white,25.0,100.0,0.0,0.0,1.32,25.0,100.0,400.0,10.0,40.0,10.0,40.0,50.0,unlocks_white,True,False,10,4,2,,material_or_elder,250,火碎剑2,大剑,https://mhworld.kiranico.com/zh/weapons/lkH7hbo/huo-sui-jian-2
15,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,35.0,140.0,350.0,10.0,40.0,7.5,30.0,True,0,1248,,冰,330,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,7.5,30.0,1.39,35.0,140.0,400.0,15.0,60.0,7.5,30.0,50.0,unlocks_purple,True,False,11,2,,,material_or_elder,260,钢龙寒冰大剑,大剑,https://mhworld.kiranico.com/zh/weapons/50HDuYB/gang-long-han-bing-da-jian
20,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,25.0,100.0,350.0,7.5,30.0,7.5,30.0,True,0,1344,小,龙,330,,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,25.0,100.0,400.0,20.0,80.0,7.5,30.0,50.0,extends_white,True,False,12,4,4,,material_or_elder,280,冥灯龙大剑改,大剑,https://mhworld.kiranico.com/zh/weapons/EAHYCM0/ming-deng-long-da-jian-gai
-20,15.0,60.0,1.0625,17.5,70.0,blue,10.0,40.0,0.0,0.0,1.2,35.0,140.0,350.0,0.0,0.0,10.0,40.0,True,45,1344,,爆破,580,,17.5,70.0,1.25,17.5,70.0,purple,10.0,40.0,5.0,20.0,1.39,35.0,140.0,400.0,5.0,20.0,10.0,40.0,50.0,unlocks_purple,True,False,11,2,,,material_or_elder,280,岩浆卫士熔山剑,大剑,https://mhworld.kiranico.com/zh/weapons/V5HJcAo/yan-jiang-wei-shi-rong-shan-jian
0,15.0,60.0,1.0625,25.0,100.0,blue,15.0,60.0,0.0,0.0,1.2,17.5,70.0,350.0,0.0,0.0,15.0,60.0,True,0,1152,中,龙,720,,20.0,80.0,1.125,25.0,100.0,white,15.0,60.0,0.0,0.0,1.32,17.5,70.0,400.0,7.5,30.0,15.0,60.0,50.0,unlocks_white,True,False,11,1,1,,material_or_elder,240,封龙大剑2,大剑,https://mhworld.kiranico.com/zh/weapons/50HGSY9/feng-long-da-jian-2
0,7.5,30.0,1.125,7.5,30.0,white,7.5,30.0,0.0,0.0,1.32,32.5,130.0,350.0,10.0,40.0,22.5,90.0,True,0,1200,,雷,510,,7.5,30.0,1.25,7.5,30.0,purple,7.5,30.0,5.0,20.0,1.39,32.5,130.0,400.0,17.5,70.0,22.5,90.0,50.0,unlocks_purple,True,False,11,2,1,,material_or_elder,250,迅雷断裂斧2,大剑,https://mhworld.kiranico.com/zh/weapons/8gH4spO/xun-lei-duan-lie-fu-2
35,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,27.5,110.0,350.0,7.5,30.0,7.5,30.0,True,0,1200,,冰,540,,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,27.5,110.0,400.0,20.0,80.0,7.5,30.0,50.0,extends_white,True,False,11,,,,material_or_elder,250,断海冰牙,大剑,https://mhworld.kiranico.com/zh/weapons/aNHQhL5/duan-hai-bing-ya
0,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,15.0,60.0,7.5,30.0,True,0,1152,,水,510,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,12.5,50.0,1.39,30.0,120.0,400.0,15.0,60.0,7.5,30.0,50.0,unlocks_purple,True,False,10,2,1,,material_or_elder,240,舄湖巨像2,大剑,https://mhworld.kiranico.com/zh/weapons/x9HZt90/xi-hu-ju-xiang-2
0,25.0,100.0,1.0625,20.0,80.0,blue,12.5,50.0,0.0,0.0,1.2,17.5,70.0,350.0,0.0,0.0,12.5,50.0,True,40,1392,,爆破,360,,37.5,150.0,1.0625,20.0,80.0,blue,12.5,50.0,0.0,0.0,1.2,17.5,70.0,400.0,0.0,0.0,12.5,50.0,50.0,extends_same_tier,True,True,11,4,,,material_or_elder,290,龙颚剑【绝牙】,大剑,https://mhworld.kiranico.com/zh/weapons/r8HwHyE/long-e-jian-jue-ya
-30,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,40.0,160.0,350.0,5.0,20.0,7.5,30.0,True,0,1344,大,龙,390,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,7.5,30.0,1.39,40.0,160.0,400.0,10.0,40.0,7.5,30.0,50.0,unlocks_purple,True,False,12,,,,material_or_elder,280,业剑暗黑暴食,大剑,https://mhworld.kiranico.com/zh/weapons/JvHEZFMK/ye-jian-an-hei-bao-shi
25,7.5,30.0,1.125,7.5,30.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,12.5,50.0,22.5,90.0,True,0,1200,,爆破,390,,7.5,30.0,1.25,7.5,30.0,purple,7.5,30.0,5.0,20.0,1.39,30.0,120.0,400.0,20.0,80.0,22.5,90.0,50.0,unlocks_purple,True,False,12,2,1,,material_or_elder,250,魂焰刚剑·炎妃,大剑,https://mhworld.kiranico.com/zh/weapons/q8Hvvukw/hun-yan-gang-jian-yan-fei
-15,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,2.5,10.0,1.39,40.0,160.0,350.0,7.5,30.0,5.0,20.0,True,0,1296,,火,690,,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,15.0,60.0,1.39,40.0,160.0,400.0,7.5,30.0,5.0,20.0,50.0,extends_purple,True,True,12,1,1,,material_or_elder,270,爆热机关式【银翼】,大剑,https://mhworld.kiranico.com/zh/weapons/q8HvWUwg/bao-re-ji-guan-shi-yin-yi
0,7.5,30.0,1.125,7.5,30.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,12.5,50.0,22.5,90.0,True,0,1296,,爆破,330,,7.5,30.0,1.25,7.5,30.0,purple,7.5,30.0,5.0,20.0,1.39,30.0,120.0,400.0,20.0,80.0,22.5,90.0,50.0,unlocks_purple,True,False,12,2,2,,material_or_elder,270,魂焰刚剑·灭尽,大剑,https://mhworld.kiranico.com/zh/weapons/WJHw3Tqq/hun-yan-gang-jian-mie-jin
15,7.5,30.0,1.125,7.5,30.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,12.5,50.0,22.5,90.0,True,0,1200,,爆破,480,,7.5,30.0,1.25,7.5,30.0,purple,7.5,30.0,5.0,20.0,1.39,30.0,120.0,400.0,20.0,80.0,22.5,90.0,50.0,unlocks_purple,True,False,12,3,3,,material_or_elder,250,魂焰刚剑·冥灯,大剑,https://mhworld.kiranico.com/zh/weapons/BYHgPsEb/hun-yan-gang-jian-ming-deng
0,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,22.5,90.0,350.0,12.5,50.0,7.5,30.0,True,0,1056,,爆破,390,防卫队,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,22.5,90.0,400.0,25.0,100.0,7.5,30.0,50.0,extends_white,False,False,7,,,,material_or_elder,220,防卫队炎刃型大剑5,大剑,https://mhworld.kiranico.com/zh/weapons/POHEPHoM/fang-wei-dui-yan-ren-xing-da-jian-5
0,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,10.0,40.0,1.39,32.5,130.0,350.0,7.5,30.0,5.0,20.0,True,0,1296,中,龙,420,,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,22.5,90.0,1.39,32.5,130.0,400.0,7.5,30.0,5.0,20.0,50.0,extends_purple,True,False,12,2,,,material_or_elder,270,狱界断罪斧改,大剑,https://mhworld.kiranico.com/zh/weapons/8gH9zF6l/yu-jie-duan-zui-fu-gai
0,20.0,80.0,1.0625,20.0,80.0,blue,12.5,50.0,0.0,0.0,1.2,22.5,90.0,350.0,0.0,0.0,12.5,50.0,True,0,1344,,冰,600,,32.5,130.0,1.0625,20.0,80.0,blue,12.5,50.0,0.0,0.0,1.2,22.5,90.0,400.0,0.0,0.0,12.5,50.0,50.0,extends_same_tier,True,True,10,4,,,material_or_elder,280,巨牛大斧2,大剑,https://mhworld.kiranico.com/zh/weapons/g3Hl4fEz/ju-niu-da-fu-2
25,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,7.5,30.0,1.39,35.0,140.0,350.0,7.5,30.0,5.0,20.0,True,0,1152,,毒,660,,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,20.0,80.0,1.39,35.0,140.0,400.0,7.5,30.0,5.0,20.0,50.0,extends_purple,True,True,10,1,,,material_or_elder,240,隐密之炎2,大剑,https://mhworld.kiranico.com/zh/weapons/50HbQcOq/yin-mi-zhi-yan-2
0,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,32.5,130.0,350.0,12.5,50.0,7.5,30.0,True,0,1200,,火,450,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,7.5,30.0,1.39,32.5,130.0,400.0,17.5,70.0,7.5,30.0,50.0,unlocks_purple,True,False,10,1,1,,material_or_elder,250,斩龙之炎2,大剑,https://mhworld.kiranico.com/zh/weapons/GNHDZSqe/zhan-long-zhi-yan-2
0,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,35.0,140.0,350.0,10.0,40.0,7.5,30.0,True,0,1296,,冰,450,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,12.5,50.0,1.39,35.0,140.0,400.0,10.0,40.0,7.5,30.0,50.0,unlocks_purple,True,False,12,4,,,material_or_elder,270,冰翼灵羽,大剑,https://mhworld.kiranico.com/zh/weapons/70H6DsWO/bing-yi-ling-yu
-20,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,17.5,70.0,350.0,17.5,70.0,7.5,30.0,True,0,1344,,爆破,450,,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,17.5,70.0,400.0,30.0,120.0,7.5,30.0,50.0,extends_white,True,True,11,,,,material_or_elder,280,轰大剑【王虎】,大剑,https://mhworld.kiranico.com/zh/weapons/q8HvBswV/hong-da-jian-wang-hu
25,20.0,80.0,1.0625,12.5,50.0,blue,25.0,100.0,0.0,0.0,1.2,20.0,80.0,350.0,0.0,0.0,10.0,40.0,True,0,1248,,雷,360,,20.0,80.0,1.125,12.5,50.0,white,25.0,100.0,0.0,0.0,1.32,20.0,80.0,400.0,12.5,50.0,10.0,40.0,50.0,unlocks_white,True,False,11,,,,material_or_elder,260,兵器蛮雷大剑,大剑,https://mhworld.kiranico.com/zh/weapons/x9HDEh93/bing-qi-man-lei-da-jian
0,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,12.5,50.0,350.0,20.0,80.0,7.5,30.0,True,0,1152,,睡眠,540,,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,12.5,50.0,400.0,32.5,130.0,7.5,30.0,50.0,extends_white,True,False,10,2,,,material_or_elder,240,夜神剃刀2,大剑,https://mhworld.kiranico.com/zh/weapons/kaHAbFWY/ye-shen-ti-dao-2
0,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,22.5,90.0,350.0,12.5,50.0,7.5,30.0,True,0,1200,,爆破,570,,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,22.5,90.0,400.0,25.0,100.0,7.5,30.0,50.0,extends_white,True,False,11,1,,,material_or_elder,250,爆大剑恶霸之刃,大剑,https://mhworld.kiranico.com/zh/weapons/x9HDYH96/bao-da-jian-e-ba-zhi-ren
0,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,42.5,170.0,350.0,2.5,10.0,7.5,30.0,True,30,1344,大,龙,540,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,7.5,30.0,1.39,42.5,170.0,400.0,7.5,30.0,7.5,30.0,50.0,unlocks_purple,True,True,12,1,1,,material_or_elder,280,无相法身－不动－,大剑,https://mhworld.kiranico.com/zh/weapons/kaHAvCWv/wu-xiang-fa-shen-bu-dong
-15,15.0,60.0,1.0625,12.5,50.0,blue,25.0,100.0,0.0,0.0,1.2,25.0,100.0,350.0,0.0,0.0,10.0,40.0,True,0,1488,,雷,180,,15.0,60.0,1.125,12.5,50.0,white,25.0,100.0,0.0,0.0,1.32,25.0,100.0,400.0,12.5,50.0,10.0,40.0,50.0,unlocks_white,True,False,12,4,,,material_or_elder,310,大鬼金棒,大剑,https://mhworld.kiranico.com/zh/weapons/DAH7YiyM/da-gui-jin-bang
0,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,22.5,90.0,1.39,20.0,80.0,350.0,7.5,30.0,5.0,20.0,True,0,1344,小,龙,810,煌黑,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,35.0,140.0,1.39,20.0,80.0,400.0,7.5,30.0,5.0,20.0,50.0,extends_purple,False,False,12,2,2,,material_or_elder,280,煌黑大剑龙击,大剑,https://mhworld.kiranico.com/zh/weapons/GNHDYuMq/huang-hei-da-jian-long-ji
0,10.0,40.0,1.0625,22.5,90.0,blue,12.5,50.0,0.0,0.0,1.2,15.0,60.0,350.0,0.0,0.0,27.5,110.0,True,0,1392,,麻痹,420,,15.0,60.0,1.25,22.5,90.0,purple,12.5,50.0,2.5,10.0,1.39,15.0,60.0,400.0,5.0,20.0,27.5,110.0,50.0,unlocks_purple,True,True,11,4,,,material_or_elder,290,罪罚粉碎者2,大剑,https://mhworld.kiranico.com/zh/weapons/M8HkjcD5/zui-fa-fen-sui-zhe-2
0,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,15.0,60.0,350.0,20.0,80.0,7.5,30.0,True,0,1200,,冰,480,,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,15.0,60.0,400.0,32.5,130.0,7.5,30.0,50.0,extends_white,True,False,10,2,1,,material_or_elder,250,冰鱼龙斩剑2,大剑,https://mhworld.kiranico.com/zh/weapons/70H6Xs3O/bing-yu-long-zhan-jian-2
-30,22.5,90.0,1.125,22.5,90.0,white,5.0,20.0,0.0,0.0,1.32,22.5,90.0,350.0,7.5,30.0,7.5,30.0,True,0,1392,,睡眠,390,,22.5,90.0,1.25,22.5,90.0,purple,5.0,20.0,10.0,40.0,1.39,22.5,90.0,400.0,10.0,40.0,7.5,30.0,50.0,unlocks_purple,True,True,12,,,,material_or_elder,290,吼大剑【荒咬】,大剑,https://mhworld.kiranico.com/zh/weapons/70H62I3j/hou-da-jian-huang-yao
0,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,17.5,70.0,350.0,17.5,70.0,7.5,30.0,True,0,1152,,冰,690,,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,17.5,70.0,400.0,30.0,120.0,7.5,30.0,50.0,extends_white,True,False,11,1,,,material_or_elder,240,瞬间冷冻剑鱼,大剑,https://mhworld.kiranico.com/zh/weapons/42HXYtXk/shun-jian-leng-dong-jian-yu
15,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,37.5,150.0,350.0,7.5,30.0,7.5,30.0,True,30,1296,,水,570,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,12.5,50.0,1.39,37.5,150.0,400.0,7.5,30.0,7.5,30.0,50.0,unlocks_purple,True,True,12,3,,,guild_palace,270,宫廷王剑【金星】,大剑,https://mhworld.kiranico.com/zh/weapons/M8HkyHax/gong-ting-wang-jian-jin-xing
15,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,12.5,50.0,1.39,30.0,120.0,350.0,7.5,30.0,5.0,20.0,True,0,1344,,雷,360,,10.0,40.0,1.25,17.5,70.0,purple,5.0,20.0,25.0,100.0,1.39,30.0,120.0,400.0,7.5,30.0,5.0,20.0,50.0,extends_purple,True,False,12,,,,material_or_elder,280,鬼神金棒【猿魔王】,大剑,https://mhworld.kiranico.com/zh/weapons/JvHEpi3O/gui-shen-jin-bang-yuan-mo-wang
0,7.5,30.0,1.25,7.5,30.0,purple,7.5,30.0,5.0,20.0,1.39,37.5,150.0,400.0,12.5,50.0,22.5,90.0,False,0,1440,,爆破,360,,7.5,30.0,1.25,7.5,30.0,purple,7.5,30.0,5.0,20.0,1.39,37.5,150.0,400.0,12.5,50.0,22.5,90.0,0.0,no_effect,True,False,12,4,3,,material_or_elder,300,碎光之击剑,大剑,https://mhworld.kiranico.com/zh/weapons/GNHD4uo9/sui-guang-zhi-ji-jian
5,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,350.0,10.0,40.0,12.5,50.0,True,0,1296,,火,150,,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,400.0,22.5,90.0,12.5,50.0,50.0,extends_white,True,False,12,4,,,material_or_elder,270,赤龙断绝剑·火,大剑,https://mhworld.kiranico.com/zh/weapons/06HDrCro/chi-long-duan-jue-jian-huo
5,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,350.0,10.0,40.0,12.5,50.0,True,0,1296,,水,150,,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,400.0,22.5,90.0,12.5,50.0,50.0,extends_white,True,False,12,4,,,material_or_elder,270,赤龙断绝剑·水,大剑,https://mhworld.kiranico.com/zh/weapons/R5HpDuY4/chi-long-duan-jue-jian-shui
5,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,350.0,10.0,40.0,12.5,50.0,True,0,1296,,冰,150,,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,400.0,22.5,90.0,12.5,50.0,50.0,extends_white,True,False,12,4,,,material_or_elder,270,赤龙断绝剑·冰,大剑,https://mhworld.kiranico.com/zh/weapons/zkHMRTDO/chi-long-duan-jue-jian-bing
5,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,350.0,10.0,40.0,12.5,50.0,True,0,1296,,雷,150,,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,400.0,22.5,90.0,12.5,50.0,50.0,extends_white,True,False,12,4,,,material_or_elder,270,赤龙断绝剑·雷,大剑,https://mhworld.kiranico.com/zh/weapons/50Hb2uPl/chi-long-duan-jue-jian-lei
5,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,350.0,10.0,40.0,12.5,50.0,True,0,1296,中,龙,150,,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,400.0,22.5,90.0,12.5,50.0,50.0,extends_white,True,False,12,4,,,material_or_elder,270,赤龙断绝剑·龙,大剑,https://mhworld.kiranico.com/zh/weapons/V5H85FqD/chi-long-duan-jue-jian-long
5,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,350.0,10.0,40.0,12.5,50.0,True,0,1296,,毒,300,,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,400.0,22.5,90.0,12.5,50.0,50.0,extends_white,True,False,12,4,,,material_or_elder,270,赤龙断绝剑·毒,大剑,https://mhworld.kiranico.com/zh/weapons/EAHwbuAO/chi-long-duan-jue-jian-du
5,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,350.0,10.0,40.0,12.5,50.0,True,0,1296,,睡眠,180,,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,400.0,22.5,90.0,12.5,50.0,50.0,extends_white,True,False,12,4,,,material_or_elder,270,赤龙断绝剑·睡眠,大剑,https://mhworld.kiranico.com/zh/weapons/bvHvouox/chi-long-duan-jue-jian-shui-mian
5,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,350.0,10.0,40.0,12.5,50.0,True,0,1296,,麻痹,180,,15.0,60.0,1.125,12.5,50.0,white,12.5,50.0,0.0,0.0,1.32,25.0,100.0,400.0,22.5,90.0,12.5,50.0,50.0,extends_white,True,False,12,4,,,material_or_elder,270,赤龙断绝剑·麻痹,大剑,https://mhworld.kiranico.com/zh/weapons/voHqXuwD/chi-long-duan-jue-jian-ma-bi
